"YEAR","AREA","/ITEMS","I530242_Number of general clinics by department (Respiratory surgery)[number of clinics]","Annotation"
"2020","All Japan","","165",""
"2020","Hokkaido","","1",""
"2020","Aomori-ken","","2",""
"2020","Iwate-ken","","0",""
"2020","Miyagi-ken","","2",""
"2020","Akita-ken","","0",""
"2020","Yamagata-ken","","2",""
"2020","Fukushima-ken","","2",""
"2020","Ibaraki-ken","","7",""
"2020","Tochigi-ken","","1",""
"2020","Gumma-ken","","0",""
"2020","Saitama-ken","","10",""
"2020","Chiba-ken","","5",""
"2020","Tokyo-to","","19",""
"2020","Kanagawa-ken","","14",""
"2020","Niigata-ken","","1",""
"2020","Toyama-ken","","1",""
"2020","Ishikawa-ken","","1",""
"2020","Fukui-ken","","1",""
"2020","Yamanashi-ken","","2",""
"2020","Nagano-ken","","2",""
"2020","Gifu-ken","","2",""
"2020","Shizuoka-ken","","7",""
"2020","Aichi-ken","","8",""
"2020","Mie-ken","","5",""
"2020","Shiga-ken","","2",""
"2020","Kyoto-fu","","4",""
"2020","Osaka-fu","","6",""
"2020","Hyogo-ken","","7",""
"2020","Nara-ken","","0",""
"2020","Wakayama-ken","","2",""
"2020","Tottori-ken","","0",""
"2020","Shimane-ken","","0",""
"2020","Okayama-ken","","3",""
"2020","Hiroshima-ken","","1",""
"2020","Yamaguchi-ken","","4",""
"2020","Tokushima-ken","","2",""
"2020","Kagawa-ken","","2",""
"2020","Ehime-ken","","1",""
"2020","Kochi-ken","","1",""
"2020","Fukuoka-ken","","11",""
"2020","Saga-ken","","1",""
"2020","Nagasaki-ken","","5",""
"2020","Kumamoto-ken","","5",""
"2020","Oita-ken","","4",""
"2020","Miyazaki-ken","","1",""
"2020","Kagoshima-ken","","6",""
"2020","Okinawa-ken","","2",""
"2017","All Japan","","150",""
"2017","Hokkaido","","1",""
"2017","Aomori-ken","","1",""
"2017","Iwate-ken","","0",""
"2017","Miyagi-ken","","1",""
"2017","Akita-ken","","0",""
"2017","Yamagata-ken","","0",""
