"YEAR","AREA","/ITEMS","I530102_Number of general hospitals by department (Respiratory)[number of hospitals]","Annotation"
"2007","All Japan","","2,525",""
"2007","Hokkaido","","143",""
"2007","Aomori-ken","","23",""
"2007","Iwate-ken","","25",""
"2007","Miyagi-ken","","39",""
"2007","Akita-ken","","25",""
"2007","Yamagata-ken","","13",""
"2007","Fukushima-ken","","56",""
"2007","Ibaraki-ken","","67",""
"2007","Tochigi-ken","","38",""
"2007","Gumma-ken","","37",""
"2007","Saitama-ken","","94",""
"2007","Chiba-ken","","85",""
"2007","Tokyo-to","","159",""
"2007","Kanagawa-ken","","106",""
"2007","Niigata-ken","","19",""
"2007","Toyama-ken","","17",""
"2007","Ishikawa-ken","","34",""
"2007","Fukui-ken","","37",""
"2007","Yamanashi-ken","","16",""
"2007","Nagano-ken","","44",""
"2007","Gifu-ken","","32",""
"2007","Shizuoka-ken","","45",""
"2007","Aichi-ken","","100",""
"2007","Mie-ken","","24",""
"2007","Shiga-ken","","25",""
"2007","Kyoto-fu","","73",""
"2007","Osaka-fu","","142",""
"2007","Hyogo-ken","","92",""
"2007","Nara-ken","","23",""
"2007","Wakayama-ken","","26",""
"2007","Tottori-ken","","11",""
"2007","Shimane-ken","","10",""
"2007","Okayama-ken","","43",""
"2007","Hiroshima-ken","","55",""
"2007","Yamaguchi-ken","","46",""
"2007","Tokushima-ken","","40",""
"2007","Kagawa-ken","","28",""
"2007","Ehime-ken","","38",""
"2007","Kochi-ken","","60",""
"2007","Fukuoka-ken","","150",""
"2007","Saga-ken","","42",""
"2007","Nagasaki-ken","","60",""
"2007","Kumamoto-ken","","76",""
"2007","Oita-ken","","65",""
"2007","Miyazaki-ken","","37",""
"2007","Kagoshima-ken","","69",""
"2007","Okinawa-ken","","36",""
"2006","All Japan","","2,516",""
"2006","Hokkaido","","138",""
"2006","Aomori-ken","","24",""
"2006","Iwate-ken","","27",""
"2006","Miyagi-ken","","40",""
"2006","Akita-ken","","25",""
"2006","Yamagata-ken","","14",""
"2006","Fukushima-ken","","56",""
"2006","Ibaraki-ken","","69",""
"2006","Tochigi-ken","","40",""
"2006","Gumma-ken","","36",""
"2006","Saitama-ken","","93",""
"2006","Chiba-ken","","84",""
"2006","Tokyo-to","","161",""
"2006","Kanagawa-ken","","110",""
"2006","Niigata-ken","","21",""
"2006","Toyama-ken","","17",""
"2006","Ishikawa-ken","","33",""
"2006","Fukui-ken","","38",""
"2006","Yamanashi-ken","","15",""
"2006","Nagano-ken","","42",""
"2006","Gifu-ken","","34",""
"2006","Shizuoka-ken","","45",""
"2006","Aichi-ken","","100",""
"2006","Mie-ken","","24",""
"2006","Shiga-ken","","25",""
"2006","Kyoto-fu","","72",""
"2006","Osaka-fu","","138",""
"2006","Hyogo-ken","","87",""
"2006","Nara-ken","","23",""
"2006","Wakayama-ken","","26",""
"2006","Tottori-ken","","11",""
"2006","Shimane-ken","","10",""
"2006","Okayama-ken","","43",""
"2006","Hiroshima-ken","","53",""
"2006","Yamaguchi-ken","","47",""
"2006","Tokushima-ken","","38",""
"2006","Kagawa-ken","","30",""
"2006","Ehime-ken","","39",""
"2006","Kochi-ken","","62",""
"2006","Fukuoka-ken","","151",""
"2006","Saga-ken","","41",""
"2006","Nagasaki-ken","","60",""
"2006","Kumamoto-ken","","75",""
"2006","Oita-ken","","61",""
"2006","Miyazaki-ken","","37",""
"2006","Kagoshima-ken","","66",""
"2006","Okinawa-ken","","35",""
"2005","All Japan","","2,508",""
"2005","Hokkaido","","141",""
"2005","Aomori-ken","","24",""
"2005","Iwate-ken","","26",""
"2005","Miyagi-ken","","39",""
"2005","Akita-ken","","25",""
"2005","Yamagata-ken","","15",""
"2005","Fukushima-ken","","56",""
"2005","Ibaraki-ken","","68",""
"2005","Tochigi-ken","","41",""
"2005","Gumma-ken","","36",""
"2005","Saitama-ken","","91",""
"2005","Chiba-ken","","84",""
"2005","Tokyo-to","","161",""
"2005","Kanagawa-ken","","110",""
"2005","Niigata-ken","","22",""
"2005","Toyama-ken","","17",""
"2005","Ishikawa-ken","","34",""
"2005","Fukui-ken","","37",""
"2005","Yamanashi-ken","","15",""
"2005","Nagano-ken","","41",""
"2005","Gifu-ken","","34",""
"2005","Shizuoka-ken","","45",""
"2005","Aichi-ken","","98",""
"2005","Mie-ken","","23",""
"2005","Shiga-ken","","26",""
"2005","Kyoto-fu","","71",""
"2005","Osaka-fu","","134",""
"2005","Hyogo-ken","","85",""
"2005","Nara-ken","","23",""
"2005","Wakayama-ken","","26",""
"2005","Tottori-ken","","10",""
"2005","Shimane-ken","","10",""
"2005","Okayama-ken","","42",""
"2005","Hiroshima-ken","","54",""
"2005","Yamaguchi-ken","","48",""
"2005","Tokushima-ken","","39",""
"2005","Kagawa-ken","","31",""
"2005","Ehime-ken","","37",""
"2005","Kochi-ken","","62",""
"2005","Fukuoka-ken","","150",""
"2005","Saga-ken","","41",""
"2005","Nagasaki-ken","","61",""
"2005","Kumamoto-ken","","74",""
"2005","Oita-ken","","62",""
"2005","Miyazaki-ken","","37",""
"2005","Kagoshima-ken","","65",""
"2005","Okinawa-ken","","37",""
"2004","All Japan","","2,443",""
"2004","Hokkaido","","137",""
"2004","Aomori-ken","","26",""
"2004","Iwate-ken","","25",""
