,AREA,NUMBER
1,Hokkaido,144
2,Aomori,25
3,Iwate,25
4,Miyagi,41
5,Akita,25
6,Yamagata,15
7,Fukushima,58
8,Ibaraki,74
9,Tochigi,39
10,Gunma,37
11,Saitama,104
12,Chiba,90
13,Tokyo,178
14,Kanagawa,120
15,Niigata,20
16,Toyama,18
17,Ishikawa,35
18,Fukui,38
19,Yamanashi,18
20,Nagano,46
21,Gifu,34
22,Shizuoka,52
23,Aichi,108
24,Mie,29
25,Shiga,27
26,Kyoto,77
27,Osaka,148
28,Hyōgo,99
29,Nara,23
30,Wakayama,28
31,Tottori,11
32,Shimane,10
33,Okayama,46
34,Hiroshima,56
35,Yamaguchi,50
36,Tokushima,42
37,Kagawa,30
38,Ehime,39
39,Kochi,61
40,Fukuoka,161
41,Saga,43
42,Naoasaki,65
43,Kumamoto,81
44,Oita,69
45,Miyazaki,38
46,Kagoshima,75
47,Okinawa,38
