YEAR,AREA,NUMBER
2018,Hokkaido,824
2018,Aomori-ken,248
2018,Iwate-ken,235
2018,Miyagi-ken,482
2018,Akita-ken,192
2018,Yamagata-ken,251
2018,Fukushima-ken,364
2018,Ibaraki-ken,495
2018,Tochigi-ken,373
2018,Gumma-ken,370
2018,Saitama-ken,"1,311"
2018,Chiba-ken,"1,032"
2018,Tokyo-to,"2,449"
2018,Kanagawa-ken,"1,669"
2018,Niigata-ken,464
2018,Toyama-ken,222
2018,Ishikawa-ken,221
2018,Fukui-ken,147
2018,Yamanashi-ken,162
2018,Nagano-ken,375
2018,Gifu-ken,358
2018,Shizuoka-ken,679
2018,Aichi-ken,"1,352"
2018,Mie-ken,306
2018,Shiga-ken,247
2018,Kyoto-fu,383
2018,Osaka-fu,"1,354"
2018,Hyogo-ken,871
2018,Nara-ken,209
2018,Wakayama-ken,134
2018,Tottori-ken,106
2018,Shimane-ken,138
2018,Okayama-ken,369
2018,Hiroshima-ken,481
2018,Yamaguchi-ken,220
2018,Tokushima-ken,121
2018,Kagawa-ken,184
2018,Ehime-ken,226
2018,Kochi-ken,125
2018,Fukuoka-ken,822
2018,Saga-ken,138
2018,Nagasaki-ken,197
2018,Kumamoto-ken,301
2018,Oita-ken,204
2018,Miyazaki-ken,181
2018,Kagoshima-ken,264
2018,Okinawa-ken,195
